Removed Pin From Net: NetName=VCC_BATT_FILT Pin=C60-2
Removed Pin From Net: NetName=V12P0_ARD Pin=C61-1
Removed Pin From Net: NetName=V3P3 Pin=JMP1-1
Removed Pin From Net: NetName=THRST_EN Pin=JMP1-2
Removed Pin From Net: NetName=GND Pin=JMP2-1
Removed Pin From Net: NetName=REED_P Pin=JMP2-2
Removed Pin From Net: NetName=V12P0_ARD Pin=R37-2
Removed Pin From Net: NetName=GND Pin=TB1-18
Removed Pin From Net: NetName=V12P0_ARD Pin=TP16-1
Removed Pin From Net: NetName=VCC_BATT_FILT Pin=U1-1
Removed Pin From Net: NetName=V12P0_ARD Pin=U1-3
Removed Pin From Net: NetName=GND Pin=U1-4
Removed Member From Class: ClassName=Designator Member=JMP1
Removed Member From Class: ClassName=Designator Member=JMP2
Removed Member From Class: ClassName=J2_Nets Member=MUX_S0
Removed Member From Class: ClassName=MUX_S0_Nets Member=MUX_S0
Removed Member From Class: ClassName=TB1_Nets Member=MUX_S0
Removed Member From Class: ClassName=U5_Nets Member=MUX_S0
Removed Member From Class: ClassName=J2_Nets Member=MUX_S1
Removed Member From Class: ClassName=MUX_S1_Nets Member=MUX_S1
Removed Member From Class: ClassName=TB1_Nets Member=MUX_S1
Removed Member From Class: ClassName=U5_Nets Member=MUX_S1
Removed Member From Class: ClassName=J2_Nets Member=MUX_S2
Removed Member From Class: ClassName=MUX_S2_Nets Member=MUX_S2
Removed Member From Class: ClassName=TB1_Nets Member=MUX_S2
Removed Member From Class: ClassName=U5_Nets Member=MUX_S2
Removed Member From Class: ClassName=C61_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=R37_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=TP16_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=U1_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=C60_Nets Member=VCC_BATT_FILT
Removed Member From Class: ClassName=U1_Nets Member=VCC_BATT_FILT
Change Component Footprint: Designator=C60 Old Footprint=FP-C1608-080-0_1-IPC_A New Footprint=CAPC2013X145X50LL20T25
Change Component Footprint: Designator=U1 Old Footprint=TO-263_L New Footprint=32A_M
Change Component Comment : Designator=TP16 Old Comment= New Comment=Test Point Pad
Change Component Comment : Designator=C60 Old Comment=330nF New Comment=4.7uF
Change Component Comment : Designator=R37 Old Comment=681R New Comment=220R
Change Component Comment : Designator=U1 Old Comment=L7812ABD2T-TR New Comment=ATmega328P-AU
Change Component Kind : Designator=TB1 Old Kind=Standard New Kind=Standard (No BOM)
Change Managed Component Library Link : Designator=C60 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=0E1FFC42-F177-4346-8D34-384284695200 New ItemGUID=0F103262-0BC7-4DBF-90F5-5535FBB26756 Old RevisionGUID=B30C0EEA-69EF-4835-B136-3FA067E00B7B New RevisionGUID=86CB5F9C-2FF9-44EE-87BB-692BABD83174
Change Managed Component Library Link : Designator=R37 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=D5D24C98-CF8A-4954-9316-FFC3B219B35D New ItemGUID=65E29380-3414-4DF0-BB8B-D3A658E0A0DC Old RevisionGUID=6F85F0A3-4980-4E9F-9898-FB953BC416B3 New RevisionGUID=4B001B33-88E9-4237-8F82-5DB7581C1970
Change Managed Component Library Link : Designator=U1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=3A237323-EBFC-4277-8F16-D8A368BAA97E New ItemGUID=56502755-F026-40EB-BCF0-36AE7BFC5A49 Old RevisionGUID=0DE0A394-932F-4E97-9E36-09646DC2029C New RevisionGUID=240D5CCC-FCC4-45D4-8C62-91D49B903782
Change component parameters: Designator = "C60" ("C60"); Footprint = "FP-C1608-080-0_1-IPC_A"; UniqueID = "\HCTMQPSF\TWJTYZWD" ("\HCTMQPSF\TWJTYZWD")
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://gct.co/files/drawings/usb4105.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn Orientation"; Value = "Right Angle"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Gold,Nickel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "5/6.25/1.25/0.25A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Connectors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "USB Connectors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "CONN RCPT USB2.0 TYPEC 5A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "3.46mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Is Female"; Value = "yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GCT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "USB4105-GF-A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Contacts"; Value = "16"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/usb4105-gf-a-gct-106627878"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-40°C to +85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Usb Standard"; Value = "USB 2.0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "20V"; VariantName = "[No Variations]"
Added Component: Designator=P6(SMTC-TSW-103-08-L-D_V)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.samtec.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/25618/0900766b81154476-25618436.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://suddendocs.samtec.com/prints/tsw-xxx-xx-x-x-xx-xxx-footprint.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "04/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "2.54 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Samtec"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125 degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Male Header, Pitch 2.54 mm, 2 x 3 Position, Height 8.38 mm, Tail Length 5.08 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "TSW-103-08-L-D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Added Component: Designator=R46(RESC1608X55X30LL15T15)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ-3EKF1001V"; VariantName = "[No Variations]"
Added Component: Designator=R48(0805)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805ZT0R00/1756901"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CRCW08050000Z0EA"; VariantName = "[No Variations]"
Added Component: Designator=R57(0805)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805ZT0R00/1756901"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CRCW08050000Z0EA"; VariantName = "[No Variations]"
Added Component: Designator=R60(RESC1608X55X25LL10T15)
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RC0603FR-075K1L"; VariantName = "[No Variations]"
Added Component: Designator=R62(RESC1608X55X30LL15T15)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ-3EKF1001V"; VariantName = "[No Variations]"
Added Component: Designator=R63(RESC1608X55X30LL15T15)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ-3EKF1001V"; VariantName = "[No Variations]"
Added Component: Designator=R64(RESC1608X55X25LL10T15)
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RC0603FR-075K1L"; VariantName = "[No Variations]"
Added Component: Designator=R65(RESC1608X55X30LL15T15)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ-3EKF1001V"; VariantName = "[No Variations]"
Added Component: Designator=R66(RESC1608X55X30LL15T15)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ-3EKF1001V"; VariantName = "[No Variations]"
Added Component: Designator=SW1(FP-1825360-3-MFG)
Add component (AddParameter): Name = "Actuator Length"; Value = "0.99mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Actuator Material"; Value = "Polybutylene"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Actuator Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Current Rating"; Value = "1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Copper Alloy"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Post Length"; Value = "4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Resistance"; Value = "50mR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "7.49mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Electrical Life"; Value = "1000Cycles"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ELV"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Flammability Rating"; Value = "UL94 V-0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.138inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Housing Color"; Value = "Black"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Housing Material"; Value = "Polyphenylene"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "0.476inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Current Rating"; Value = "100mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Voltage Rating (DC)"; Value = "24V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-30°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Circuits"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Positions"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Orientation"; Value = "Straight"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "35"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Rail/Tube"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "0.1inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sealable"; Value = "No (Without)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "ADE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Terminal Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "PC Pins"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Throw Configuration"; Value = "SPST"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Switch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Washable"; Value = "Yes"; VariantName = "[No Variations]"
Added Component: Designator=SW2(FP-PTS526SK15SMTR2LFS-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Switch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.ckswitches.com/media/2780/pts526.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Current Rating"; Value = "50mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Resistance"; Value = "100mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Electromechanical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Switches"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Tactile Switches"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "TACT 5.2 X 5.2, 1.5 MM H, 260GF,"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Electromechanical Life"; Value = "200000Cycles"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.65mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "C&K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "PTS526SK15SMTR2LFS"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/pts526+sk15+smtr2+lfs-c%26k+components-100617999"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Force"; Value = "250gf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "PTS526SK15SMTR2LFS"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standoff Height"; Value = "0mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-20°C to +70°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+70°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-20°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Throw Configuration"; Value = "SPST-NO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating Dc"; Value = "12V"; VariantName = "[No Variations]"
Added Component: Designator=U9(FTDI-SSOP-28_M)
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://datasheet.octopart.com/FT232RL-FTDI-datasheet-120501.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "Rev. 1.04, 02/2006"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions"; Value = "10.2x5.3x1.75mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.75mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "10.2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "FTDI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.ftdichip.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Maximum Data Rate"; Value = "3MBd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Maximum Operating Temperature"; Value = "+85degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Operating Temperature"; Value = "-40degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels per Chip"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Type"; Value = "SSOP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "28"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Receive FIFO"; Value = "256B"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Transmit FIFO"; Value = "128B"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "5.3mm"; VariantName = "[No Variations]"
Added Component: Designator=U10(ONSC-D2PAK-3-936-03_V)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.onsemi.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.onsemi.com/pub_link/Collateral/MC7800-D.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.onsemi.com/pub_link/Collateral/936-03.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 27, 11/2014"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "30.02 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "10.24 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125 degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "0 degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "800"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "3-Pin Transistor Outline, Body 10.02 x 9.1945 mm, Pitch 2.54 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "D2PAK-3-936-03"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "Rev. E, 09/2015"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Added Component: Designator=Y1(FP-ABM8G-MFG)
Add component (AddParameter): Name = "Case/Package"; Value = "CSMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "2.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "80R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency"; Value = "16MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency Stability"; Value = "30ppm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency Tolerance"; Value = "30ppm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "3.2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Load Capacitance"; Value = "10pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "70°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-20°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Frequency"; Value = "16 MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "ABM8G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "30ppm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "2.5mm"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C83-1
Added Pin To Net: NetName=V5P0_ARD Pin=C83-2
Added Pin To Net: NetName=GND Pin=C84-1
Added Pin To Net: NetName=V5P0_ARD Pin=C84-2
Added Pin To Net: NetName=GND Pin=C85-1
Added Pin To Net: NetName=V5P0_ARD Pin=C85-2
Added Pin To Net: NetName=GND Pin=C86-1
Add Pin To Net: Unknown Pin: Pin C88-1
Add Pin To Net: Unknown Pin: Pin C88-2
Add Pin To Net: Unknown Pin: Pin C89-1
Add Pin To Net: Unknown Pin: Pin C89-2
Added Pin To Net: NetName=V5P0_ARD Pin=D13-1
Added Pin To Net: NetName=V5P0_ARD Pin=D14-2
Added Pin To Net: NetName=V5P0_ARD Pin=D15-2
Added Pin To Net: NetName=GND Pin=J5-1
Added Pin To Net: NetName=GND Pin=J5-2
Added Pin To Net: NetName=GND Pin=J5-3
Added Pin To Net: NetName=GND Pin=J5-4
Added Pin To Net: NetName=GND Pin=J5-A1-B12
Added Pin To Net: NetName=GND Pin=J5-B1-A12
Added Pin To Net: NetName=MUX_S2 Pin=P6-1
Added Pin To Net: NetName=V5P0_ARD Pin=P6-2
Added Pin To Net: NetName=Ard_D13 Pin=P6-3
Added Pin To Net: NetName=MUX_S1 Pin=P6-4
Added Pin To Net: NetName=GND Pin=P6-6
Added Pin To Net: NetName=V5P0_ARD Pin=R37-2
Added Pin To Net: NetName=V5P0_ARD Pin=R46-2
Added Pin To Net: NetName=V5P0 Pin=R48-1
Added Pin To Net: NetName=V5P0_ARD Pin=R57-1
Added Pin To Net: NetName=GND Pin=R60-2
Added Pin To Net: NetName=Ard_D0/RX Pin=R62-2
Added Pin To Net: NetName=Ard_D1/TX Pin=R63-2
Added Pin To Net: NetName=GND Pin=R64-2
Added Pin To Net: NetName=REED_P Pin=SW1-1
Added Pin To Net: NetName=THRST_EN Pin=SW1-2
Added Pin To Net: NetName=V3P3 Pin=SW1-7
Added Pin To Net: NetName=GND Pin=SW1-8
Added Pin To Net: NetName=GND Pin=SW2-3
Added Pin To Net: NetName=GND Pin=SW2-4
Added Pin To Net: NetName=V5P0_ARD Pin=TP16-1
Added Pin To Net: NetName=Ard_D3 Pin=U1-1
Added Pin To Net: NetName=Ard_D4 Pin=U1-2
Added Pin To Net: NetName=GND Pin=U1-3
Added Pin To Net: NetName=V5P0_ARD Pin=U1-4
Added Pin To Net: NetName=GND Pin=U1-5
Added Pin To Net: NetName=V5P0_ARD Pin=U1-6
Added Pin To Net: NetName=Ard_D5 Pin=U1-9
Added Pin To Net: NetName=Ard_D6 Pin=U1-10
Added Pin To Net: NetName=Ard_D7 Pin=U1-11
Added Pin To Net: NetName=Ard_D8 Pin=U1-12
Added Pin To Net: NetName=MUX_S0 Pin=U1-14
Added Pin To Net: NetName=MUX_S1 Pin=U1-15
Added Pin To Net: NetName=MUX_S2 Pin=U1-16
Added Pin To Net: NetName=Ard_D13 Pin=U1-17
Added Pin To Net: NetName=V5P0_ARD Pin=U1-18
Added Pin To Net: NetName=Ard_A6 Pin=U1-19
Added Pin To Net: NetName=GND Pin=U1-21
Added Pin To Net: NetName=Ard_A7 Pin=U1-22
Added Pin To Net: NetName=Ard_A0 Pin=U1-23
Added Pin To Net: NetName=Ard_A1 Pin=U1-24
Added Pin To Net: NetName=Ard_A2 Pin=U1-25
Added Pin To Net: NetName=Ard_A3 Pin=U1-26
Added Pin To Net: NetName=Ard_D2 Pin=U1-32
Added Pin To Net: NetName=V5P0_ARD Pin=U9-4
Added Pin To Net: NetName=GND Pin=U9-7
Added Pin To Net: NetName=Ard_3V3 Pin=U9-17
Added Pin To Net: NetName=GND Pin=U9-18
Added Pin To Net: NetName=V5P0_ARD Pin=U9-20
Added Pin To Net: NetName=GND Pin=U9-21
Added Pin To Net: NetName=GND Pin=U9-25
Added Pin To Net: NetName=GND Pin=U9-26
Added Pin To Net: NetName=VCC_BATT_FILT Pin=U10-1
Added Pin To Net: NetName=V5P0_ARD Pin=U10-3
Added Pin To Net: NetName=GND Pin=U10-4
Added Pin To Net: NetName=GND Pin=Y1-2
Added Pin To Net: NetName=GND Pin=Y1-4
Change Net Name : Old Net Name=MUX_S0 New Net Name=Ard_D10
Change Net Name : Old Net Name=MUX_S1 New Net Name=MOSI
Change Net Name : Old Net Name=MUX_S2 New Net Name=MISO
Added Pin To Net: NetName=Ard_A4 Pin=U1-27
Added Net: Name=Ard_A4
Added Pin To Net: NetName=Ard_A5 Pin=U1-28
Added Net: Name=Ard_A5
Added Pin To Net: NetName=Ard_AREF Pin=C86-2
Added Pin To Net: NetName=Ard_AREF Pin=R48-2
Added Pin To Net: NetName=Ard_AREF Pin=R57-2
Added Pin To Net: NetName=Ard_AREF Pin=TB1-18
Added Pin To Net: NetName=Ard_AREF Pin=U1-20
Added Net: Name=Ard_AREF
